country,interest
Barbados,
Jamaica,
Bahamas,
St. Helena,
Angola,
Mozambique,
Trinidad & Tobago,
United States,42
Ghana,
Zimbabwe,
South Africa,22
Tanzania,
Canada,20
Kenya,16
Nigeria,13
New Zealand,12
Puerto Rico,
United Kingdom,10
Norway,8
South Korea,7
Australia,6
Denmark,6
Netherlands,6
France,5
Ireland,5
Sweden,5
Bulgaria,4
Switzerland,4
Belgium,3
Germany,3
Slovakia,
Finland,2
Portugal,2
Russia,2
Austria,2
Singapore,
Serbia,
Czech Republic,
United Arab Emirates,
Chile,2
Hungary,
Morocco,
Ukraine,1
Romania,
Poland,1
Greece,
Mexico,1
Japan,<1
Malaysia,
Philippines,
Italy,<1
Spain,<1
China,
Brazil,<1
Indonesia,
Argentina,
India,<1
Türkiye,
Laos,
Lebanon,
Djibouti,
Dominica,
Cayman Islands,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Christmas Island,
Estonia,
Ethiopia,
Curaçao,
Fiji,
Falkland Islands (Islas Malvinas),
Cuba,
Faroe Islands,
Micronesia,
Gabon,
Costa Rica,
Georgia,
Guernsey,
Cape Verde,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Comoros,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Colombia,
Cook Islands,
Isle of Man,
Congo - Brazzaville,
British Indian Ocean Territory,
Congo - Kinshasa,
Iran,
Iraq,
Iceland,
Israel,
Cameroon,
Côte d'Ivoire,
Jersey,
Jordan,
Cocos (Keeling) Islands,
Kazakhstan,
Central African Republic,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Botswana,
Kuwait,
Bouvet Island,
Bhutan,
Aruba,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Brunei,
Monaco,
Moldova,
Madagascar,
Maldives,
Bolivia,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Bermuda,
Mauritania,
Montserrat,
Cyprus,
Mauritius,
Malawi,
Belize,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Belarus,
Nicaragua,
Niue,
St. Barthélemy,
Bosnia & Herzegovina,
Nepal,
Nauru,
Bahrain,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Bangladesh,
Palau,
Papua New Guinea,
Burkina Faso,
Caribbean Netherlands,
North Korea,
Benin,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Burundi,
Azerbaijan,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Antigua & Barbuda,
South Georgia & South Sandwich Islands,
French Southern Territories,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Antarctica,
South Sudan,
São Tomé & Príncipe,
Suriname,
American Samoa,
Slovenia,
Armenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Thailand,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Andorra,
Tunisia,
Albania,
Tuvalu,
Taiwan,
Åland Islands,
Uganda,
Anguilla,
U.S. Outlying Islands,
Uruguay,
Afghanistan,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Martinique,
