artist,amount
Drake,15
Jay-Z,14
Kanye West,11
Future,11
Eminem,11
J. Cole,7
Travis Scott,6
Nas,6
Lil Wayne,5
2Pac,5
DMX,5
Kendrick Lamar,5
Rick Ross,5
