collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Kanye West","artist","medium","3","Kanye West|artist","3","Mainstream Rap","Kanye West","Kanye West","Mainstream Rap","Kanye West","true","24","258","#a85561","24","258","3","3","51","32","258","0.41887902047863906","835.694728071791","604.9380539135565","4.8","58.023702053557386","840.7717430168706","547.1368954541671","74.39999999999999","301.004853064909","763.083276312402","247.00243764842273","763.083276312402","247.00243764842273","9.47300783992378","5.351981830465412","images/Kanye%20West.webp","false","false","0.7","0"
"Kanye West","producer","medium","5","Kanye West|producer","5","Mainstream Rap","Kanye West","Kanye West","Producer","Kanye West","true","120","328","#7a6a8a","120","328","92","92","25","17","328","2.0943951023931953","436.0000000000001","784.0563324412959","218.4","191.83326093250878","447.3710716168181","592.5603827967011","38.4","313.3560275469422","839.4885232138823","702.0822784136049","839.4885232138823","702.0822784136049","12.255507940800143","6.924015785762792","images/Kanye%20West.webp","false","false","0.7","0"
"Toro y Moi","artist","low","2","Toro y Moi|artist","2","Psychedelic","Toro y Moi","Toro y Moi","Psychedelic","Toro y Moi","true","310","258","#5d7a9c","310","258","10","10","76","52","258","5.410520681182422","765.8392032991271","302.36053367530366","21.599999999999998","72.73238618387273","698.600165149983","330.0897916671424","122.39999999999999","314.32467291003417","288.0159746434279","538.2879605399631","288.0159746434279","538.2879605399631","7.873514378137413","4.448313207987239","images/Toro%20y%20Moi.webp","false","false","0.4","0"
"Toro y Moi","producer","low","1","Toro y Moi|producer","1","Psychedelic","Toro y Moi","Toro y Moi","Producer","Toro y Moi","true","120","328","#7a6a8a","120","328","159","159","247","77","328","2.0943951023931953","436.0000000000001","784.0563324412959","379.2","252.19040425836982","285.78063486509615","986.6251907055079","182.4","263.2489316217637","858.6288605814434","549.1030800901972","858.6288605814434","549.1030800901972","6","3.389830508474576","images/Toro%20y%20Moi.webp","false","false","0.4","0"
"Meek Mill","artist","low","1","Meek Mill|artist","1","Mainstream Rap","","Meek Mill","Mainstream Rap","Meek Mill","false","24","258","#a85561","24","258","5","5","247","78","258","0.41887902047863906","835.694728071791","604.9380539135565","9.6","68.20007331374359","768.5389441154786","593.0489546536003","184.79999999999998","264.95282598983545","374.67231321853944","639.3823287569699","374.67231321853944","639.3823287569699","6","3.389830508474576","images/Meek%20Mill.webp","false","false","0.4","0"
"T.I.","artist","low","2","T.I.|artist","2","Trap","","T.I.","Trap","T.I.","false","72","258","#c4a05c","72","258","17","17","76","53","258","1.2566370614359172","679.7263845487364","745.3725812041496","38.4","82.46211251235322","742.7496801313371","798.5521281550982","124.8","317.33263305244856","806.1469961075546","258.7461585884448","806.1469961075546","258.7461585884448","7.873514378137413","4.448313207987239","images/T.I..webp","false","false","0.4","0"
"A$AP Ferg","artist","low","1","A$AP Ferg|artist","1","Psychedelic","","A$AP Ferg","Psychedelic","A$AP Ferg","false","310","258","#5d7a9c","310","258","1","1","247","79","258","5.410520681182422","765.8392032991271","302.36053367530366","0","36.5","802.3392032991271","302.36053367530366","187.2","266.64583251946766","672.4677061471932","243.39050764680576","672.4677061471932","243.39050764680576","6","3.389830508474576","images/A$AP%20Ferg.webp","false","false","0.4","0"
"Popcaan","artist","low","1","Popcaan|artist","1","Dancehall","","Popcaan","Dancehall","Popcaan","false","192","258","#8a9c5d","192","258","1","1","247","80","258","3.3510321638291125","347.63791901067816","446.35878376901815","0","36.5","384.13791901067816","446.35878376901815","189.6","268.3281572999748","720.6494631954675","739.6741684676209","720.6494631954675","739.6741684676209","6","3.389830508474576","images/Popcaan.webp","false","false","0.4","0"
"Justin Vernon","artist","low","2","Justin Vernon|artist","2","Psychedelic","","Justin Vernon","Psychedelic","Justin Vernon","false","310","258","#5d7a9c","310","258","3","3","76","54","258","5.410520681182422","765.8392032991271","302.36053367530366","4.8","58.023702053557386","770.9162182442067","244.55937521591432","127.19999999999999","320.3123475609393","611.0493747480613","820.1217132868012","611.0493747480613","820.1217132868012","7.873514378137413","4.448313207987239","images/Justin%20Vernon.webp","false","false","0.4","0"
"Theophilus London","artist","low","1","Theophilus London|artist","1","Psychedelic","","Theophilus London","Psychedelic","Theophilus London","false","310","258","#5d7a9c","310","258","9","9","247","81","258","5.410520681182422","765.8392032991271","302.36053367530366","19.2","73.5","834.8718987813471","327.59418094356596","192","270","347.5797793969465","404.1666434340015","347.5797793969465","404.1666434340015","6","3.389830508474576","images/Theophilus%20London.webp","false","false","0.4","0"
"Paul Wall","artist","low","1","Paul Wall|artist","1","Houston Legends","","Paul Wall","Houston Legends","Paul Wall","false","336","278","#7a5d4a","336","278","2","2","247","82","278","5.8643062867009474","853.965637224643","386.9272132249275","2.4","49.49747468305833","817.466510458194","420.36093490359616","194.4","271.66155414412253","852.4087872909706","399.5519831041868","852.4087872909706","399.5519831041868","6","3.389830508474576","images/Paul%20Wall.webp","false","false","0.4","0"
"James Fauntleroy","artist","low","1","James Fauntleroy|artist","1","Pop","","James Fauntleroy","Pop","James Fauntleroy","false","0","293","#d0a8b0","0","293","4","4","247","83","293","0","893","500","7.199999999999999","64","931.9344841300643","550.7947432863458","196.79999999999998","273.313007374329","481.00527553791835","746.0492949597566","481.00527553791835","746.0492949597566","6","3.389830508474576","images/James%20Fauntleroy.webp","false","false","0.4","0"
"Wale","artist","low","1","Wale|artist","1","Mainstream Rap","","Wale","Mainstream Rap","Wale","false","24","258","#a85561","24","258","7","7","247","84","258","0.41887902047863906","835.694728071791","604.9380539135565","14.399999999999999","72.75816105427624","816.7908950236945","675.1975379430431","199.2","274.9545416973504","521.0775395756466","236.61578399500405","521.0775395756466","236.61578399500405","6","3.389830508474576","images/Wale.webp","false","false","0.4","0"
"Anthony Kilhoffer","producer","medium","5","Anthony Kilhoffer|producer","5","","Anthony Kilhoffer","","Producer","Anthony Kilhoffer","false","120","328","#7a6a8a","120","328","15","15","25","18","328","2.0943951023931953","436.0000000000001","784.0563324412959","33.6","77.45966692414834","391.41805166048977","847.4002341387225","40.8","322.44069222106566","277.826389805172","513.1211620686204","277.826389805172","513.1211620686204","12.255507940800143","6.924015785762792","images/Anthony%20Kilhoffer.webp","false","false","0.7","0"
"Emile Haynie","producer","low","1","Emile Haynie|producer","1","","Emile Haynie","","Producer","Emile Haynie","false","120","328","#7a6a8a","120","328","62","62","247","85","328","2.0943951023931953","436.0000000000001","784.0563324412959","146.4","157.48015748023622","387.0690865219494","933.7418885454288","201.6","276.5863337187866","837.50448521318","641.7449099742996","837.50448521318","641.7449099742996","6","3.389830508474576","images/Emile%20Haynie.webp","false","false","0.4","0"
"J Gramm","producer","medium","5","J Gramm|producer","5","","J Gramm","","Producer","J Gramm","false","120","328","#7a6a8a","120","328","82","82","25","19","328","2.0943951023931953","436.0000000000001","784.0563324412959","194.4","181.10770276274835","604.2725248606472","717.0909878440871","43.199999999999996","331.27631970909124","834.9730099486978","266.4797983136166","834.9730099486978","266.4797983136166","12.255507940800143","6.924015785762792","images/J%20Gramm.webp","false","false","0.7","0"
"WondaGurl","producer","high","16","WondaGurl|producer","16","","WondaGurl","","Producer","WondaGurl","false","120","328","#7a6a8a","120","328","167","167","4","4","328","2.0943951023931953","436.0000000000001","784.0563324412959","398.4","258.4569596664017","220.13206196404403","926.1866716659126","7.199999999999999","380","831.173499522257","801.593788262678","831.173499522257","801.593788262678","23.893213519106975","13.498990688761003","images/WondaGurl.webp","false","false","1","1"
"Rey Reel","producer","low","1","Rey Reel|producer","1","","Rey Reel","","Producer","Rey Reel","false","120","328","#7a6a8a","120","328","126","126","247","86","328","2.0943951023931953","436.0000000000001","784.0563324412959","300","224.4994432064365","431.03932127519096","559.6117030411046","204","278.20855486487113","327.5334778524375","556.2316130731801","327.5334778524375","556.2316130731801","6","3.389830508474576","images/Rey%20Reel.webp","false","false","0.4","0"
"Rahki","producer","low","1","Rahki|producer","1","","Rahki","","Producer","Rahki","false","120","328","#7a6a8a","120","328","124","124","247","87","328","2.0943951023931953","436.0000000000001","784.0563324412959","295.2","222.71057451320087","657.3716281747544","759.6718652693781","206.4","279.8213715926645","763.8772623152323","273.1867664882303","763.8772623152323","273.1867664882303","6","3.389830508474576","images/Rahki.webp","false","false","0.4","0"
"Dahi","producer","low","3","Dahi|producer","3","","Dahi","","Producer","Dahi","false","120","328","#7a6a8a","120","328","50","50","51","33","328","2.0943951023931953","436.0000000000001","784.0563324412959","117.6","141.4213562373095","406.55742366399124","645.7337576434767","76.8","305.6718732851406","651.4190244510307","801.3160766407118","651.4190244510307","801.3160766407118","9.47300783992378","5.351981830465412","images/Dahi.webp","false","false","0.4","0"
"Young Chop","producer","low","1","Young Chop|producer","1","","Young Chop","","Producer","Young Chop","false","120","328","#7a6a8a","120","328","169","169","247","88","328","2.0943951023931953","436.0000000000001","784.0563324412959","403.2","260","559.4295144851818","1012.8906719840147","208.79999999999998","281.4249455894058","632.5473814220297","779.5365234858746","632.5473814220297","779.5365234858746","6","3.389830508474576","images/Young%20Chop.webp","false","false","0.4","0"
"MIKE DEAN","producer","high","53","MIKE DEAN|producer","53","","MIKE DEAN","","Producer","MIKE DEAN","false","120","328","#7a6a8a","120","328","99","99","1","1","328","2.0943951023931953","436.0000000000001","784.0563324412959","235.2","198.997487421324","254.25291426785301","865.0995112281104","0","380","980","500","980","500","51.318602341408734","28.993560644863692","images/MIKE%20DEAN.webp","false","false","1","1"
"Rick Rubin","producer","low","1","Rick Rubin|producer","1","","Rick Rubin","","Producer","Rick Rubin","false","120","328","#7a6a8a","120","328","128","128","247","89","328","2.0943951023931953","436.0000000000001","784.0563324412959","304.8","226.27416997969522","210.21122954326617","769.2431242932844","211.2","283.0194339616981","385.97736533119826","314.8127654253009","385.97736533119826","314.8127654253009","6","3.389830508474576","images/Rick%20Rubin.webp","false","false","0.4","0"
"Lex Luger","producer","low","4","Lex Luger|producer","4","","Lex Luger","","Producer","Lex Luger","false","120","328","#7a6a8a","120","328","95","95","31","26","328","2.0943951023931953","436.0000000000001","784.0563324412959","225.6","194.93588689617926","597.4717945966277","674.8461701405992","60","348.0081571161154","268.55251387225456","393.92341748079906","268.55251387225456","393.92341748079906","10.917047464637365","6.167823426348794","images/Lex%20Luger.webp","false","false","0.7","0"
"No I.D.","producer","low","1","No I.D.|producer","1","","No I.D.","","Producer","No I.D.","false","120","328","#7a6a8a","120","328","114","114","247","90","328","2.0943951023931953","436.0000000000001","784.0563324412959","271.2","213.5415650406262","547.2082053296","966.3548104035914","213.6","284.60498941515414","884.4910247998046","491.9466275165612","884.4910247998046","491.9466275165612","6","3.389830508474576","images/No%20I.D..webp","false","false","0.4","0"
"Ann Marie Calhoun","producer","low","1","Ann Marie Calhoun|producer","1","","Ann Marie Calhoun","","Producer","Ann Marie Calhoun","false","120","328","#7a6a8a","120","328","14","14","247","91","328","2.0943951023931953","436.0000000000001","784.0563324412959","31.2","74.83314773547883","509.0953948909907","768.0231404406321","216","286.18176042508367","394.5257647105958","699.1992435533693","394.5257647105958","699.1992435533693","6","3.389830508474576","images/Ann%20Marie%20Calhoun.webp","false","false","0.4","0"
"SAK PASE","producer","low","1","SAK PASE|producer","1","","SAK PASE","","Producer","SAK PASE","false","120","328","#7a6a8a","120","328","132","132","247","92","328","2.0943951023931953","436.0000000000001","784.0563324412959","314.4","229.78250586152114","659.1562876514175","838.8401921231206","218.4","287.74989139876317","617.056607425227","212.75607553310778","617.056607425227","212.75607553310778","6","3.389830508474576","images/SAK%20PASE.webp","false","false","0.4","0"
"The Dope Boyz","producer","low","1","The Dope Boyz|producer","1","","The Dope Boyz","","Producer","The Dope Boyz","false","120","328","#7a6a8a","120","328","154","154","247","93","328","2.0943951023931953","436.0000000000001","784.0563324412959","367.2","248.19347291981714","204.27554340804159","872.9595169577211","220.79999999999998","289.30952282978865","782.4287100357785","724.5434607257175","782.4287100357785","724.5434607257175","6","3.389830508474576","images/The%20Dope%20Boyz.webp","false","false","0.4","0"
"Rich Homie Quan","artist","low","1","Rich Homie Quan|artist","1","Trap","","Rich Homie Quan","Trap","Rich Homie Quan","false","72","258","#c4a05c","72","258","15","15","247","94","258","1.2566370614359172","679.7263845487364","745.3725812041496","33.6","77.45966692414834","635.1444362092261","808.7164829015761","223.2","290.8607914449798","312.2728196279277","457.41984411563294","312.2728196279277","457.41984411563294","6","3.389830508474576","images/Rich%20Homie%20Quan.webp","false","false","0.4","0"
"Young Thug","artist","high","7","Young Thug|artist","7","Trap","","Young Thug","Trap","Young Thug","false","72","258","#c4a05c","72","258","20","20","14","11","258","1.2566370614359172","679.7263845487364","745.3725812041496","45.6","89.44271909999159","675.5324759092083","834.7169214296126","24","336.833998962609","742.8779113173106","194.97041895129973","742.8779113173106","194.97041895129973","14.713586331368166","8.312760639191055","images/Young%20Thug.webp","false","false","1","1"
"Metro Boomin","producer","high","11","Metro Boomin|producer","11","","Metro Boomin","","Producer","Metro Boomin","false","120","328","#7a6a8a","120","328","105","105","7","7","328","2.0943951023931953","436.0000000000001","784.0563324412959","249.6","204.93901531919195","404.03433284850524","581.6256131234022","14.399999999999999","380","501.26940463877344","866.9499550887256","501.26940463877344","866.9499550887256","19.072970008452337","10.775689270312055","images/Metro%20Boomin.webp","false","false","1","1"
"Southside","producer","low","4","Southside|producer","4","","Southside","","Producer","Southside","false","120","328","#7a6a8a","120","328","139","139","31","27","328","2.0943951023931953","436.0000000000001","784.0563324412959","331.2","235.7965224510319","380.4030172153712","554.9079623723694","62.4","354.6374795978055","922.0788147538872","351.5648996287765","922.0788147538872","351.5648996287765","10.917047464637365","6.167823426348794","images/Southside.webp","false","false","0.7","0"
"AudioKlique","producer","low","1","AudioKlique|producer","1","","AudioKlique","","Producer","AudioKlique","false","120","328","#7a6a8a","120","328","16","16","247","95","328","2.0943951023931953","436.0000000000001","784.0563324412959","36","80","425.7629048298077","704.7140241658467","225.6","292.4038303442689","842.2076918949413","336.1847565489548","842.2076918949413","336.1847565489548","6","3.389830508474576","images/AudioKlique.webp","false","false","0.4","0"
"C Gutta","producer","low","1","C Gutta|producer","1","","C Gutta","","Producer","C Gutta","false","120","328","#7a6a8a","120","328","31","31","247","96","328","2.0943951023931953","436.0000000000001","784.0563324412959","72","111.35528725660043","328.29153289364615","812.3209059140987","228","293.93876913398134","531.6920335030989","785.8916258183478","531.6920335030989","785.8916258183478","6","3.389830508474576","images/C%20Gutta.webp","false","false","0.4","0"
"FKi 1st","producer","low","3","FKi 1st|producer","3","","FKi 1st","","Producer","FKi 1st","false","120","328","#7a6a8a","120","328","66","66","51","34","328","2.0943951023931953","436.0000000000001","784.0563324412959","156","162.48076809271922","512.6344269305391","640.7832902839247","79.2","310.2687007525359","354.92507873075215","309.72401719728623","354.92507873075215","309.72401719728623","9.47300783992378","5.351981830465412","images/FKi%201st.webp","false","false","0.4","0"
"Charlie Handsome","producer","low","1","Charlie Handsome|producer","1","","Charlie Handsome","","Producer","Charlie Handsome","false","120","328","#7a6a8a","120","328","39","39","247","97","328","2.0943951023931953","436.0000000000001","784.0563324412959","91.2","124.89995996796796","311.64925231165785","772.3562662299346","230.39999999999998","295.4657340538831","456.51908997314524","241.71095947008206","456.51908997314524","241.71095947008206","6","3.389830508474576","images/Charlie%20Handsome.webp","false","false","0.4","0"
"Big Sean","artist","low","2","Big Sean|artist","2","Mainstream Rap","","Big Sean","Mainstream Rap","Big Sean","false","24","258","#a85561","24","258","1","1","76","55","258","0.41887902047863906","835.694728071791","604.9380539135565","0","36.5","872.194728071791","604.9380539135565","129.6","323.2645975048922","373.5537845947455","269.3008202688249","373.5537845947455","269.3008202688249","7.873514378137413","4.448313207987239","images/Big%20Sean.webp","false","false","0.4","0"
"The 1975","artist","low","1","The 1975|artist","1","Alternative","","The 1975","Alternative","The 1975","false","286","291","#5d8a9c","286","291","2","2","247","98","291","4.991641660703783","680.2104705427469","220.27284648194922","2.4","49.49747468305833","643.7113437762978","253.70656816061788","232.79999999999998","296.98484809834997","881.7076273521461","594.0255959386825","881.7076273521461","594.0255959386825","6","3.389830508474576","images/The%201975.webp","false","false","0.4","0"
"Vinylz","producer","medium","9","Vinylz|producer","9","","Vinylz","","Producer","Vinylz","false","120","328","#7a6a8a","120","328","164","164","9","9","328","2.0943951023931953","436.0000000000001","784.0563324412959","391.2","256.12496949731394","417.64783334517546","1039.5229603578862","19.2","380","956.9037317448109","630.4596729515603","956.9037317448109","630.4596729515603","16.966610165238237","9.585655460586574","images/Vinylz.webp","false","false","1","0"
"Allen Ritter","producer","high","22","Allen Ritter|producer","22","","Allen Ritter","","Producer","Allen Ritter","false","120","328","#7a6a8a","120","328","13","13","2","2","328","2.0943951023931953","436.0000000000001","784.0563324412959","28.799999999999997","72.11102550927978","373.62469249468444","747.8717913551178","2.4","380.00000000000006","319.7903880943267","756.6760086094374","319.7903880943267","756.6760086094374","29.110616811854634","16.446676164889624","images/Allen%20Ritter.webp","false","false","1","1"
"Migos","artist","low","1","Migos|artist","1","Trap","","Migos","Trap","Migos","false","72","258","#c4a05c","72","258","9","9","247","99","258","1.2566370614359172","679.7263845487364","745.3725812041496","19.2","73.5","748.7590800309564","770.6062284724119","235.2","298.496231131986","327.37937140177934","621.5647681802217","327.37937140177934","621.5647681802217","6","3.389830508474576","images/Migos.webp","false","false","0.4","0"
"Peewee Longway","artist","low","1","Peewee Longway|artist","1","Trap","","Peewee Longway","Trap","Peewee Longway","false","72","258","#c4a05c","72","258","12","12","247","100","258","1.2566370614359172","679.7263845487364","745.3725812041496","26.4","69.28203230275508","700.4346389527055","811.4873919468303","237.6","300","719.5152912111743","224.83442227141086","719.5152912111743","224.83442227141086","6","3.389830508474576","images/Peewee%20Longway.webp","false","false","0.4","0"
"FKi","producer","low","2","FKi|producer","2","","FKi","","Producer","FKi","false","120","328","#7a6a8a","120","328","65","65","76","56","328","2.0943951023931953","436.0000000000001","784.0563324412959","153.6","161.24515496597098","283.880275875474","837.5314624764635","132","326.1901286060018","925.7302241538773","517.3153421180407","925.7302241538773","517.3153421180407","7.873514378137413","4.448313207987239","images/FKi.webp","false","false","0.4","0"
"OZ","producer","high","10","OZ|producer","10","","OZ","","Producer","OZ","false","120","328","#7a6a8a","120","328","116","116","8","8","328","2.0943951023931953","436.0000000000001","784.0563324412959","276","215.40659228538016","629.0009321006917","688.3973537290797","16.8","380.00000000000006","424.9421367836822","162.7245272390282","424.9421367836822","162.7245272390282","18.035617008818164","10.1896141292758","images/OZ.webp","false","false","1","1"
"Syk Sense","producer","low","1","Syk Sense|producer","1","","Syk Sense","","Producer","Syk Sense","false","120","328","#7a6a8a","120","328","143","143","247","101","328","2.0943951023931953","436.0000000000001","784.0563324412959","340.8","239.16521486202797","451.01040064393055","1022.7500438635047","240","301.4962686336267","698.2218480094386","785.0481864064578","698.2218480094386","785.0481864064578","6","3.389830508474576","images/Syk%20Sense.webp","false","false","0.4","0"
"J. Hill","producer","low","1","J. Hill|producer","1","","J. Hill","","Producer","J. Hill","false","120","328","#7a6a8a","120","328","83","83","247","102","328","2.0943951023931953","436.0000000000001","784.0563324412959","196.79999999999998","182.20867158288598","356.6701836919457","948.0891957478003","242.39999999999998","302.9851481508623","333.72378138309995","355.44213823148584","333.72378138309995","355.44213823148584","6","3.389830508474576","images/J.%20Hill.webp","false","false","0.4","0"
"Tane Runo","producer","low","1","Tane Runo|producer","1","","Tane Runo","","Producer","Tane Runo","false","120","328","#7a6a8a","120","328","149","149","247","103","328","2.0943951023931953","436.0000000000001","784.0563324412959","355.2","244.13111231467406","196.73671836016518","735.5477552725413","244.79999999999998","304.4667469527666","895.4315549599982","426.37801731875453","895.4315549599982","426.37801731875453","6","3.389830508474576","images/Tane%20Runo.webp","false","false","0.4","0"
"Sonny Digital","producer","low","2","Sonny Digital|producer","2","","Sonny Digital","","Producer","Sonny Digital","false","120","328","#7a6a8a","120","328","138","138","76","57","328","2.0943951023931953","436.0000000000001","784.0563324412959","328.8","234.9468024894146","322.62561412726217","989.8383739997845","134.4","329.08965343808666","345.8736614651052","709.0928120783879","345.8736614651052","709.0928120783879","7.873514378137413","4.448313207987239","images/Sonny%20Digital.webp","false","false","0.4","0"
"Quavo","artist","high","18","Quavo|artist","18","Trap","","Quavo","Trap","Quavo","false","72","258","#c4a05c","72","258","14","14","3","3","258","1.2566370614359172","679.7263845487364","745.3725812041496","31.2","74.83314773547883","752.8217794397269","729.3393892034858","4.8","380","633.2496137069896","121.45744864238054","633.2496137069896","121.45744864238054","25.68882515137623","14.513460537500693","images/Quavo.webp","false","false","1","1"
"Ging","producer","medium","8","Ging|producer","8","","Ging","","Producer","Ging","false","120","328","#7a6a8a","120","328","72","72","10","10","328","2.0943951023931953","436.0000000000001","784.0563324412959","170.4","169.70562748477138","559.7083974012899","900.2296185805998","21.599999999999998","380","248.7007255326343","644.8751868288786","248.7007255326343","644.8751868288786","15.861281550435518","8.961176017195207","images/Ging.webp","false","false","1","0"
"Future","artist","medium","3","Future|artist","3","Trap","","Future","Trap","Future","false","72","258","#c4a05c","72","258","4","4","51","35","258","1.2566370614359172","679.7263845487364","745.3725812041496","7.199999999999999","64","718.6608686788007","796.1673244904954","81.6","314.7984104402153","913.7558351290702","474.40087622308175","913.7558351290702","474.40087622308175","9.47300783992378","5.351981830465412","images/Future.webp","false","false","0.7","0"
"2 Chainz","artist","medium","3","2 Chainz|artist","3","Trap","","2 Chainz","Trap","2 Chainz","false","72","258","#c4a05c","72","258","1","1","51","36","258","1.2566370614359172","679.7263845487364","745.3725812041496","0","36.5","716.2263845487364","745.3725812041496","84","319.26385915838625","382.8930744804104","734.0811710841717","382.8930744804104","734.0811710841717","9.47300783992378","5.351981830465412","images/2%20Chainz.webp","false","false","0.7","0"
"Mano","producer","low","1","Mano|producer","1","","Mano","","Producer","Mano","false","120","328","#7a6a8a","120","328","101","101","247","104","328","2.0943951023931953","436.0000000000001","784.0563324412959","240","200.9975124224178","501.48123200629254","974.0884567122678","247.2","305.9411708155671","431.06541928392915","755.0707890729265","431.06541928392915","755.0707890729265","6","3.389830508474576","images/Mano.webp","false","false","0.4","0"
"Zaytoven","producer","low","1","Zaytoven|producer","1","","Zaytoven","","Producer","Zaytoven","false","120","328","#7a6a8a","120","328","173","173","247","105","328","2.0943951023931953","436.0000000000001","784.0563324412959","412.8","263.0589287593181","353.3918169566899","534.3046796053578","249.6","307.4085229787879","552.0514992727577","196.35392102315956","552.0514992727577","196.35392102315956","6","3.389830508474576","images/Zaytoven.webp","false","false","0.4","0"
"Juicy J","artist","low","1","Juicy J|artist","1","Southern Hip-Hop","","Juicy J","Southern Hip-Hop","Juicy J","false","144","263","#9c7a5d","144","263","3","3","247","106","263","2.5132741228718345","387.22853047938884","654.5875213529205","4.8","58.023702053557386","392.30554542446845","596.7863628935311","252","308.86890422961005","841.6009972730005","692.4290989343649","841.6009972730005","692.4290989343649","6","3.389830508474576","images/Juicy%20J.webp","false","false","0.4","0"
"Kacy Hill","artist","low","1","Kacy Hill|artist","1","Pop","","Kacy Hill","Pop","Kacy Hill","false","0","293","#d0a8b0","0","293","6","6","247","107","293","0","893","500","12","71.03520254071216","952.9433368733444","461.88443409197816","254.39999999999998","310.32241298365807","290.41612219171225","521.396789506447","290.41612219171225","521.396789506447","6","3.389830508474576","images/Kacy%20Hill.webp","false","false","0.4","0"
"The Weeknd","artist","high","7","The Weeknd|artist","7","Pop","The Weeknd","The Weeknd","Pop","The Weeknd","true","0","293","#d0a8b0","0","293","9","9","14","12","293","0","893","500","19.2","73.5","962.03269548222","525.2336472682623","26.4","351.81163791356954","705.1557620070215","835.7286021299813","705.1557620070215","835.7286021299813","14.713586331368166","8.312760639191055","images/The%20Weeknd.webp","false","false","1","1"
"The Weeknd","producer","low","2","The Weeknd|producer","2","Pop","The Weeknd","The Weeknd","Producer","The Weeknd","true","120","328","#7a6a8a","120","328","156","156","76","58","328","2.0943951023931953","436.0000000000001","784.0563324412959","372","249.79991993593592","504.7285404053973","1024.2154208259408","136.79999999999998","331.96385345395663","646.5597917802482","171.31750002566315","646.5597917802482","171.31750002566315","7.873514378137413","4.448313207987239","images/The%20Weeknd.webp","false","false","0.4","0"
"Ben Billions","producer","low","1","Ben Billions|producer","1","","Ben Billions","","Producer","Ben Billions","false","120","328","#7a6a8a","120","328","20","20","247","108","328","2.0943951023931953","436.0000000000001","784.0563324412959","45.6","89.44271909999159","431.80609136047195","873.400672666759","256.8","311.7691453623979","814.829355776004","274.06118550176666","814.829355776004","274.06118550176666","6","3.389830508474576","images/Ben%20Billions.webp","false","false","0.4","0"
"Illangelo","producer","low","2","Illangelo|producer","2","","Illangelo","","Producer","Illangelo","false","120","328","#7a6a8a","120","328","81","81","76","59","328","2.0943951023931953","436.0000000000001","784.0563324412959","192","180","267.71985293129774","720.1674280639636","139.2","334.8133808556641","789.2910458901792","776.1682457231498","789.2910458901792","776.1682457231498","7.873514378137413","4.448313207987239","images/Illangelo.webp","false","false","0.4","0"
"Chief Keef","artist","low","1","Chief Keef|artist","1","Drill","","Chief Keef","Drill","Chief Keef","false","168","306","#6a4a6a","168","306","1","1","247","109","306","2.9321531433504737","300.6868341754555","563.6209773902343","0","36.5","337.1868341754555","563.6209773902343","259.2","313.20919526731655","594.17274125178","813.1549824854801","594.17274125178","813.1549824854801","6","3.389830508474576","images/Chief%20Keef.webp","false","false","0.4","0"
"Swae Lee","artist","medium","3","Swae Lee|artist","3","Pop","","Swae Lee","Pop","Swae Lee","false","0","293","#d0a8b0","0","293","8","8","51","37","293","0","893","500","16.8","73.53910524340095","859.1221088769745","434.72911450687656","86.39999999999999","323.66770662783995","602.0073827536149","176.33851831241032","602.0073827536149","176.33851831241032","9.47300783992378","5.351981830465412","images/Swae%20Lee.webp","false","false","0.7","0"
"TM88","producer","medium","7","TM88|producer","7","","TM88","","Producer","TM88","false","120","328","#7a6a8a","120","328","146","146","14","13","328","2.0943951023931953","436.0000000000001","784.0563324412959","348","241.66091947189145","253.80650214798325","942.8188259353424","28.799999999999997","366.17716243058396","283.26045917773934","316.2562176142611","283.26045917773934","316.2562176142611","14.713586331368166","8.312760639191055","images/TM88.webp","false","false","0.7","0"
"Charlie Heat","producer","low","2","Charlie Heat|producer","2","","Charlie Heat","","Producer","Charlie Heat","false","120","328","#7a6a8a","120","328","40","40","76","60","328","2.0943951023931953","436.0000000000001","784.0563324412959","93.6","126.49110640673518","536.8672446858174","707.7294109162438","141.6","337.6388603226826","271.12434481172784","423.5748508376679","271.12434481172784","423.5748508376679","7.873514378137413","4.448313207987239","images/Charlie%20Heat.webp","false","false","0.4","0"
"DK the Drummer","producer","low","1","DK the Drummer|producer","1","","DK the Drummer","","Producer","DK the Drummer","false","120","328","#7a6a8a","120","328","46","46","247","110","328","2.0943951023931953","436.0000000000001","784.0563324412959","108","135.64659966250537","486.9366000777304","909.7761112055038","261.59999999999997","314.6426544510455","391.8239081309209","264.0705300855428","391.8239081309209","264.0705300855428","6","3.389830508474576","images/DK%20the%20Drummer.webp","false","false","0.4","0"
"Noah Goldstein","producer","medium","6","Noah Goldstein|producer","6","","Noah Goldstein","","Producer","Noah Goldstein","false","120","328","#7a6a8a","120","328","115","115","16","15","328","2.0943951023931953","436.0000000000001","784.0563324412959","273.59999999999997","214.47610589527216","229.96208557837997","724.4880705832467","33.6","367.93341788970463","388.2357453873259","800.8835330627759","388.2357453873259","800.8835330627759","13.515432259221578","7.6358374345884625","images/Noah%20Goldstein.webp","false","false","0.7","0"
