collaborator,role,frequency,total,node_key,career_total,artist_cluster,found_as_producer,found_as_artist,cluster,name,is_dual_role,angle,distance,color,base_angle,base_distance,cluster_size,cluster_idx,global_count,global_idx,cluster_dist,cluster_angle_rad,cluster_cx,cluster_cy,cluster_local_angle,cluster_local_radius,cluster_x,cluster_y,global_angle,global_radius,dist_x,dist_y,x,y,node_size,img_radius,image_url,is_searching,search_match,label_opacity,label_visibility
"Cadenza","producer","low","1","Cadenza|producer","1","","Cadenza","","Producer","Cadenza","false","120","328","#7a6a8a","120","328","36","36","247","209","328","2.0943951023931953","436.0000000000001","784.0563324412959","84","120","354.39718052951946","872.039170850091","499.2","433.7049688440288","187.39795584150392","633.6396391652958","187.39795584150392","633.6396391652958","6","3.389830508474576","images/Cadenza.webp","false","false","0.4","0"
"Dave Chappelle","artist","low","1","Dave Chappelle|artist","1","Cultural Figures","","Dave Chappelle","Cultural Figures","Dave Chappelle","false","213","228","#8b7d9a","213","228","1","1","247","210","228","3.717551306747922","408.7831105084433","375.8223000165738","0","36.5","445.2831105084433","375.8223000165738","501.59999999999997","434.7413023856831","814.492805243662","121.85606378165409","814.492805243662","121.85606378165409","6","3.389830508474576","images/Dave%20Chappelle.webp","false","false","0.4","0"
"Nik Dean","producer","low","1","Nik Dean|producer","1","","Nik Dean","","Producer","Nik Dean","false","120","328","#7a6a8a","120","328","111","111","247","211","328","2.0943951023931953","436.0000000000001","784.0563324412959","264","210.71307505705477","645.5255521211883","806.3956029824585","504","435.7751713900185","697.4879477066831","924.7306205725447","697.4879477066831","924.7306205725447","6","3.389830508474576","images/Nik%20Dean.webp","false","false","0.4","0"
"Nami","producer","low","1","Nami|producer","1","","Nami","","Producer","Nami","false","120","328","#7a6a8a","120","328","109","109","247","212","328","2.0943951023931953","436.0000000000001","784.0563324412959","259.2","208.80613017821102","432.11516083452017","992.8263207649493","506.4","436.80659335683106","240.3739268979961","252.07039800533667","240.3739268979961","252.07039800533667","6","3.389830508474576","images/Nami.webp","false","false","0.4","0"
"Slim Pharaoh","producer","low","1","Slim Pharaoh|producer","1","","Slim Pharaoh","","Producer","Slim Pharaoh","false","120","328","#7a6a8a","120","328","137","137","247","213","328","2.0943951023931953","436.0000000000001","784.0563324412959","326.4","234.0939982143925","657.7917646905804","709.1669933105607","508.79999999999995","437.83558557979273","1033.6725320661747","439.7659985447362","1033.6725320661747","439.7659985447362","6","3.389830508474576","images/Slim%20Pharaoh.webp","false","false","0.4","0"
"Travis Sayles","producer","low","1","Travis Sayles|producer","1","","Travis Sayles","","Producer","Travis Sayles","false","120","328","#7a6a8a","120","328","160","160","247","214","328","2.0943951023931953","436.0000000000001","784.0563324412959","381.59999999999997","252.98221281347037","409.8611987340755","532.4281085307407","511.2","438.8621651498338","320.24404967178657","838.1369667101753","320.24404967178657","838.1369667101753","6","3.389830508474576","images/Travis%20Sayles.webp","false","false","0.4","0"
"Westside Gunn","artist","low","1","Westside Gunn|artist","1","Alternative","","Westside Gunn","Alternative","Westside Gunn","false","286","291","#5d8a9c","286","291","3","3","247","215","291","4.991641660703783","680.2104705427469","220.27284648194922","4.8","58.023702053557386","685.2874854878264","162.47168802255987","513.6","439.8863489584554","577.8396128120787","60.672198421632515","577.8396128120787","60.672198421632515","6","3.389830508474576","images/Westside%20Gunn.webp","false","false","0.4","0"
"The Alchemist","producer","low","1","The Alchemist|producer","1","","The Alchemist","","Producer","The Alchemist","false","120","328","#7a6a8a","120","328","153","153","247","216","328","2.0943951023931953","436.0000000000001","784.0563324412959","364.8","247.3863375370596","666.1720147544347","874.7252004384444","516","440.9081537009721","913.8179575902777","809.7067798642236","913.8179575902777","809.7067798642236","6","3.389830508474576","images/The%20Alchemist.webp","false","false","0.4","0"
"Dom Maker","producer","low","1","Dom Maker|producer","1","","Dom Maker","","Producer","Dom Maker","false","120","328","#7a6a8a","120","328","54","54","247","217","328","2.0943951023931953","436.0000000000001","784.0563324412959","127.19999999999999","146.9693845669907","441.06980083327477","930.938248004482","518.4","441.92759587968703","158.37834725700145","483.55871572709714","158.37834725700145","483.55871572709714","6","3.389830508474576","images/Dom%20Maker.webp","false","false","0.4","0"
"Elliot Baker","producer","low","1","Elliot Baker|producer","1","","Elliot Baker","","Producer","Elliot Baker","false","120","328","#7a6a8a","120","328","61","61","247","218","328","2.0943951023931953","436.0000000000001","784.0563324412959","144","156.20499351813308","572.0775741315958","707.3563075491221","520.8","442.944691807002","937.5295537286953","213.16590098158173","937.5295537286953","213.16590098158173","6","3.389830508474576","images/Elliot%20Baker.webp","false","false","0.4","0"
